generation,best_reward,mean_reward,min_reward,std_reward,n_elites
38,1389.852,-179.4027956,-1072.0,437.2193862295745,5
39,1943.0,-47.779554,-378.0,404.1173096167362,5
40,965.0138,-170.540029,-958.55058,327.49785688668106,5
41,776.134,-91.2074188,-774.94485,326.23783819454724,5
42,742.0,-254.83608660000002,-1096.0,377.69170250683067,5
43,809.5752,-182.0535568,-1138.59023,299.7010365906134,5
44,1283.0,-151.50539859999998,-1130.8014699999999,441.26297986953904,5
45,1045.7194,-178.45498200000003,-1095.0,360.8394996932768,5
46,374.0,-188.4414256,-1032.0,297.2220131405345,5
47,664.134,-175.3927048,-1048.0,386.84241566700416,5
48,1544.134,-253.237899,-1106.0,483.8815048773199,5
49,705.0,-251.06753099999997,-1097.0,386.26608531698326,5
50,487.134,-260.0508922,-1057.0,307.71835052724,5
51,736.1654000000001,-145.2342296,-998.0,318.0736867443642,5
52,781.0,-178.7769894,-1089.0,415.7823187040544,5
53,1014.0,-185.4441428,-1078.0,412.333448037236,5
54,693.0,-181.97563728,-1151.317314,381.0589551321267,5
55,2361.41943,-105.82000699999999,-1034.0,551.3558676821607,5
56,1014.0,-110.7333096,-648.0,349.66849622664546,5
57,806.134,-106.6238264,-375.866,304.3012500526919,5
58,1223.0,-152.89068059999997,-1095.0,400.6707478736568,5
59,1222.0,-175.0769576,-1070.0,360.27797464453175,5
60,2323.77875,-133.2182136,-1071.0,505.16230717722186,5
61,1352.134,-92.8568596,-902.0,375.48916724489834,5
62,935.6641999999999,-134.71696928,-1089.0,369.69000369031363,5
63,919.134,-115.62666899999998,-415.0,308.68031717851056,5
64,1474.757,-124.0444386,-1054.0,470.56417954517616,5
65,1111.6,-111.6005294,-863.5199299999999,348.12849962368875,5
66,949.884,-66.89491659999999,-1088.0,441.27273702271225,5
67,998.0,-200.110064,-1101.0,410.19953516899056,5
68,775.134,-102.00861939999999,-1052.0,428.44064432117153,5
69,1146.5934,-26.174411199999994,-906.0,401.5712177923472,5
70,1542.0,-93.764244,-1034.0,398.0328217398925,5
71,2407.6,-59.3721652,-1089.0,565.459589439771,5
72,897.8284000000001,-180.4951538,-860.0,283.83679714552704,5
73,1224.134,-122.12182739999999,-814.0,337.28105420313796,5
74,936.134,-94.4665476,-1083.0,425.58423368377674,5
75,2120.134,-161.36260000000001,-1130.8014699999999,561.3010987278235,5
76,649.0,-118.4582914,-977.0,360.6706492512332,5
77,1157.4531,-60.444863999999995,-1072.0,513.5615508367225,5
78,976.4332999999999,-159.2808028,-1053.0,416.8129547004471,5
79,1954.9333000000001,-26.6643658,-1095.0,563.8716325894032,5
80,1217.0,-101.09660400000001,-1101.0,453.12023486793754,5
81,2275.5766599999997,-43.480132,-1054.0,498.96577739053544,5
82,1492.0,-78.0500956,-1022.0,445.22923638732755,5
83,1052.4004,-127.9205202,-1101.0,480.58949379710805,5
84,871.5999999999999,-64.7996438,-1107.0,409.8299581954837,5
85,1123.0,-85.095502,-1070.0,437.2523369880549,5
86,1287.9716,-103.4146184,-1054.0,419.64781219236204,5
87,981.0,-161.026929,-1069.0,323.32086462159464,5
88,1032.0,-243.5338723,-1145.06741,477.3991197785783,5
89,691.0,-194.29650379999998,-1107.0,331.07948244141994,5
90,678.0,-275.2942764,-1106.0,403.27434898087387,5
91,1495.6,-191.47837800000002,-1094.0,465.92943216663406,5
92,1111.134,-137.12505,-1097.0,426.1126728364708,5
93,1000.134,-142.7374728,-1094.0,407.48259159232623,5
94,1375.6204,-162.6116864,-1106.0,492.3774966532779,5
95,2320.6,-44.6608804,-1088.0,674.8425686918939,5
96,1191.0,-34.069296400000006,-926.0,417.7036536525864,5
97,2099.7051,-89.0976226,-1088.0,568.8355599218881,5
98,1717.0,-26.1214488,-1089.0,498.96483178065785,5
99,1544.134,-117.32252,-1089.0,546.6763384178337,5
100,1240.134,-196.97408919999998,-1137.22922,524.1668338762464,5
